signal-013,signal-014,signal-015,signal-017,signal-061,signal-062,signal-082,signal-114,signal-115,signal-122
0.269518717,0.424922601,0.261141517,0.394898857,0.817729898,0.694784684,0.517259786,0.861538462,0.867924528,0.879310345
0.26684492,0.42002064,0.272869429,0.391967165,0.817397228,0.694044395,0.517259786,0.861538462,0.867924528,0.879310345
0.282352941,0.440144479,0.261141517,0.397830548,0.817065555,0.693304107,0.517259786,0.861538462,0.867924528,0.879310345
0.277005348,0.415118627,0.257623143,0.391967165,0.816732885,0.692564928,0.482740214,0.861538462,0.867924528,0.879310345
0.259090909,0.424922601,0.257623143,0.394898857,0.814740851,0.688125416,0.517259786,0.861538462,0.867924528,0.879310345
0.26684492,0.424922601,0.261141517,0.383465259,0.815239856,0.690345172,0.482740214,0.861538462,0.867924528,0.879310345
0.271925134,0.417698658,0.280297107,0.391967165,0.815737864,0.689235294,0.517259786,0.861538462,0.867924528,0.879310345
0.269518717,0.46749226,0.257623143,0.403400762,0.817729898,0.69700444,0.517259786,0.861538462,0.867924528,0.879310345
0.271925134,0.42750258,0.272869429,0.391967165,0.819721932,0.700334073,0.517259786,0.861538462,0.867924528,0.879310345
0.277139037,0.437564499,0.265050821,0.397830548,0.818226911,0.694784684,0.517259786,0.861538462,0.867924528,0.879310345
0.282352941,0.442724458,0.268960125,0.394898857,0.816732885,0.692564928,0.517259786,0.861538462,0.867924528,0.879310345
0.271925134,0.455108359,0.272869429,0.400469071,0.818725915,0.698114317,0.517259786,0.861538462,0.867924528,0.879310345
0.282352941,0.422600619,0.280297107,0.397683964,0.818725915,0.69700444,0.551779359,0.861538462,0.867924528,0.879310345
0.271925134,0.432662539,0.265050821,0.394898857,0.818725915,0.698669256,0.517259786,0.861538462,0.867924528,0.879310345
0.261497326,0.422600619,0.265050821,0.389328643,0.818725915,0.700334073,0.517259786,0.861538462,0.867924528,0.879310345
0.285026738,0.442724458,0.276387803,0.409264145,0.816732885,0.692564928,0.517259786,0.861538462,0.867924528,0.879310345
0.27459893,0.42750258,0.272869429,0.400469071,0.818226911,0.692564928,0.517259786,0.861538462,0.867924528,0.879310345
0.269518717,0.42750258,0.257623143,0.397830548,0.819721932,0.701442841,0.517259786,0.861538462,0.867924528,0.879310345
0.271925134,0.432662539,0.272869429,0.397830548,0.819721932,0.701442841,0.517259786,0.861538462,0.867924528,0.879310345
0.277005348,0.46001032,0.268960125,0.406332454,0.819721932,0.699223085,0.517259786,0.861538462,0.867924528,0.879310345
0.271925134,0.42002064,0.268960125,0.394898857,0.819721932,0.69700444,0.517259786,0.861538462,0.867924528,0.879310345
0.287433155,0.4125387,0.257623143,0.391967165,0.819721932,0.700334073,0.517259786,0.861538462,0.867924528,0.879310345
0.295454545,0.42750258,0.272869429,0.397830548,0.819721932,0.700889012,0.551779359,0.861538462,0.867924528,0.879310345
